           4   9.6474591506634511E-006   2.2273503272228496     
           8   1.7448104072670390E-007   2.2273598002009596     
          12   3.1608700101770637E-008   2.2273600062907004     
          16   4.9788956957286246E-008   2.2273600244709573     
          20   5.2824809859686184E-008   2.2273600275068102     
          24   5.3558316448487631E-008   2.2273600282403168     
          28   5.3784048326122047E-008   2.2273600284660486     
          32   5.3866473948005478E-008   2.2273600285484743     
          36   5.3900663488093414E-008   2.2273600285826638     
          40   5.3916315412294580E-008   2.2273600285983157     
          44   5.3924067877630932E-008   2.2273600286060682     
          48   5.3928163268324170E-008   2.2273600286101636     
          52   5.3930445886862799E-008   2.2273600286124462     
          56   5.3931775045867880E-008   2.2273600286137754     
          60   5.3932581511872968E-008   2.2273600286145818     
          64   5.3933086885393777E-008   2.2273600286150872     
          68   5.3933413290963017E-008   2.2273600286154136     
          72   5.3933628674229794E-008   2.2273600286156290     
          76   5.3933773891401415E-008   2.2273600286157742     
          80   5.3933876031919681E-008   2.2273600286158763     
          84   5.3933947086193257E-008   2.2273600286159474     
          88   5.3933998156452390E-008   2.2273600286159985     
          92   5.3934035015856807E-008   2.2273600286160353     
          96   5.3934062549387818E-008   2.2273600286160629     
         100   5.3934082533402261E-008   2.2273600286160828     
         104   5.3934098520613816E-008   2.2273600286160988     
         108   5.3934110511022482E-008   2.2273600286161108     
         112   5.3934118948717469E-008   2.2273600286161193     
         116   5.3934126054144826E-008   2.2273600286161264     
         120   5.3934131827304554E-008   2.2273600286161321     
         124   5.3934136268196653E-008   2.2273600286161366     
         128   5.3934138932731912E-008   2.2273600286161392     
